# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,
# Mon Mar 16 21:25:09 2020,,,,,,,
#,,,,,,,
# User preference: *,,,,,,,
#,,,,,,,
# CONSTRAINT:  order by pl_imppar desc,,,,,,,
#,,,,,,,
# COLUMN kepid:          KepID,,,,,,,
# COLUMN pl_name:     KOI Name,,,,,,,
# COLUMN pl_orbper:     Orbital Period [days],,,,,,,
# COLUMN pl_imppar:     Impact Parameter,,,,,,,
# COLUMN pl_trandur:   Transit Duration [hrs],,,,,,,
# COLUMN pl_rade:       Planetary Radius [Earth radii],,,,,,,
# COLUMN pl_orbsmax:        Orbit Semi-Major Axis [au],,,,,,,
# COLUMN st_rad:       Stellar Radius [Solar radii],,,,,,,
#,,,,,,,
kepid,pl_name,pl_orbper,pl_imppar,pl_trandur,pl_rade,pl_orbsmax,st_rad
9963461,K01538.01,10.5815811,2.46,6.0607,190,0.093,0.969
1722276,K01008.01,300.00296,2.35,5.6262,161,0.832,1.04
11824222,K00437.01,15.8413303,1.83,2.7173,83,0.114,0.76
8053552,K01549.01,29.481015,1.55,3.7061,74,0.18,1.03
10743597,K00989.01,81.20572,1.47,5.142,51,0.354,0.84
11909686,K01483.01,185.95187,1.44,3.6261,53,0.637,0.89
5730445,K02189.01,33.35816,1.43,2.5559,57,0.199,1.11
4832197,K01661.01,0.94773233,1.43,1.8869,86,0.02,1.46
11180361,K00971.01,0.5330595,1.411,1.7875,212,0.018,4.4
5306720,K01991.01,27.36431,1.41,3.7109,41,0.181,0.83
3228959,K01107.01,0.7309,1.3831,2.8862,124,0.016,0.91
5801571,K00225.01,0.83859769,1.382,1.7098,50,0.018,1.07
8435247,K01131.01,0.6961197,1.3813,6.7761,58,0.015,1.04
5384802,K00646.01,3.04155008,1.38,3.2313,79,0.044,1.33
5779852,K00449.01,252.07751,1.38,5.0983,54,0.82,1.09
10960993,K01284.01,3.1170889,1.38,3.0728,65,0.044,1.2
6611330,K01691.01,35.145735,1.38,2.5809,44,0.208,0.86
4070376,K01318.01,1.6346135,1.371,4.997,59,0.028,1
5596440,K00648.01,10.4748713,1.37,1.9288,80,0.103,1.74
4247092,K00403.01,21.056478,1.37,1.3749,42,0.146,0.97
7532973,K01450.01,2.144631,1.37,4.0917,80,0.034,1.39
6607447,K01242.01,99.64357,1.37,5.2198,52,0.445,1.12
5376067,K00833.01,3.9514177,1.37,2.2765,44,0.05,0.97
3114661,K00796.01,0.4442921,1.363,2.1577,41,0.011,0.76
6432059,K01229.01,0.76973817,1.361,2.4991,44,0.016,0.84
6922203,K02578.01,13.33097,1.36,1.4395,44,0.11,1.06
7357531,K01368.01,251.0601,1.36,6.301,50,0.753,1.02
4044005,K00969.01,17.5120156,1.36,2.3813,49,0.133,1.062
12416987,K02933.01,119.08406,1.35,3.2032,28,0.411,0.625
3345675,K01772.01,120.002521,1.35,4.9958,36,0.399,0.557
8223328,K01767.01,35.516213,1.35,4.1617,68,0.207,1.34
6058614,K01799.01,1.7310805,1.35,1.9973,49,0.029,0.95
4928119,K01664.01,44.638977,1.35,4.6025,63,0.253,0.99
9097120,K00927.01,23.8996342,1.35,3.6056,58,0.168,1.02
12506351,K01446.01,1.22775883,1.34,2.2918,71,0.023,1.07
3644071,K01192.01,2015.63529,1.336,25.042,48,2.969,1.03
11193447,K01415.01,0.31294161,1.336,2.5598,64.8,0.009,1.037
5956787,K02616.01,0.56911554,1.335,2.8115,43.65,0.013,1
10342041,K01155.01,0.93374664,1.3304,7.0725,33,0.018,0.76
4252322,K00396.01,14.5915214,1.33,1.3341,53,0.117,1.34
7284688,K01345.01,0.32302192,1.33,2,56,0.009,0.847
8332986,K01137.01,302.388732,1.33,8.4432,57,0.824,0.91
6311681,K01122.01,0.84478618,1.3213,3.507,39,0.017,0.94
10153011,K01773.01,83.09699,1.32,9.1123,44,0.351,0.88
5809954,K01902.01,137.86475,1.32,2.669,21,0.424,0.513
6233890,K01624.01,2.9954151,1.3165,6.1241,160,0.05,4.36
6153201,K01038.01,0.53030046,1.312,2.723,30,0.013,0.74
9846086,K00617.01,37.865195,1.31,2.9623,39,0.218,0.88
10265602,K02689.01,165.34458,1.31,4.3647,43,0.597,1
11342573,K01771.01,91.056437,1.31,5.5919,65,0.403,0.96
10674871,K02068.01,41.88971,1.31,1.7015,34,0.237,0.92
4078157,K01319.01,16.025022,1.31,3.3947,41,0.124,0.74
6359798,K01121.01,14.1540268,1.31,4.0177,59,0.112,0.87
12167361,K00980.01,47.93094,1.31,3.3282,76,0.314,1.94
8397446,K01135.01,0.9866214,1.305,3.6078,57,0.02,1.47
10620329,K00066.01,0.43628223,1.3024,1.3061,152,0.015,4.3
10153827,K01079.01,0.29362991,1.3001,1.9879,31.2,0.008,0.83
7289157,K00399.01,5.2663825,1.3,3.8295,77,0.06,1.14
3248019,K01759.01,1.3341087,1.3,2.6263,77,0.025,1.14
4043443,K00231.01,119.83996,1.3,3.6447,25,0.407,0.597
5024450,K01544.01,1.5259252,1.3,3.7472,55,0.027,1.06
9278553,K01385.01,18.6100931,1.3,5.2165,64,0.141,0.97
6964043,K01351.01,10.724782,1.3,4.7651,45,0.096,1.01
10342065,K01157.01,0.93374637,1.2958,6.9974,158,0.023,4.21
5307858,K02558.01,1.8672736,1.2932,7.6304,30,0.03,0.81
11521048,K00540.01,25.702787,1.29,2.9298,36,0.163,0.88
5449777,K00410.01,7.2168889,1.29,1.9296,45,0.076,1.13
12251650,K00621.01,17.761998,1.29,2.7638,39,0.124,0.73
11904734,K01764.01,12.6817287,1.29,2.1217,31,0.096,0.73
9592579,K00243.01,2.6375741,1.29,4.2809,44,0.038,0.95
9164836,K00213.01,48.118817,1.29,4.9927,65,0.263,0.95
8415745,K01138.01,31.828187,1.29,2.8368,38,0.2,0.95
3441784,K00976.01,52.56909,1.29,6.8486,89,0.337,1.624
9110357,K00016.01,0.8952779,1.287,2.8125,127,0.024,3.6
8386035,K01136.01,1.6348483,1.2819,6.1087,203,0.034,5.77
4376644,K00397.01,27.6776828,1.28,3.2701,50,0.182,0.96
4144231,K01791.01,22.913343,1.28,3.229,36,0.157,0.91
4544670,K00815.01,34.84409,1.28,3.0429,33,0.198,0.87
3337351,K00965.01,7.0471062,1.28,2.6593,53,0.066,0.835
10480982,K00744.01,19.2213875,1.28,4.4624,68,0.144,0.99
7697568,K01829.01,22.84145,1.27,2.6511,29,0.148,0.81
1996679,K00147.01,145.56306,1.27,5.459,44,0.555,1.19
5652983,K00371.01,498.3928,1.26,6.7907,84,1.361,2.58
11189127,K00347.01,2.67194331,1.26,1.8121,42,0.037,0.915
10666242,K00198.01,87.241243,1.26,4.3728,47,0.393,1.004
3338885,K01845.02,5.058228,1.26,1.1758,21,0.051,0.7
3557341,K01190.01,0.3937276,1.258,2.12,26.1,0.01,0.83
5802246,K01044.01,0.5251549,1.252,1.9366,27,0.012,0.89
12021625,K02996.01,15.93134,1.25,3.0024,24,0.119,0.78
5450814,K01780.01,6.4875229,1.25,2.2643,31,0.059,0.642
12508335,K00215.01,42.943895,1.25,3.8198,42,0.235,1.02
4639868,K01326.01,53.1009487,1.25,3.531,37,0.263,0.8
2309719,K01020.01,54.356319,1.25,6.4445,59,0.288,1.45
5731623,K01793.01,3.261758,1.24,1.886,32,0.044,0.97
10019763,K01558.01,32.504651,1.24,2.5888,36,0.204,0.99
11546211,K01654.01,1.09721112,1.24,1.5834,27,0.017,0.496
8374580,K00615.01,176.24347,1.23,4.9426,32,0.592,0.91
11548140,K00256.01,1.3786789,1.23,1.852,24,0.019,0.493
10874926,K01293.01,11.7031044,1.23,1.9115,31,0.102,0.93
6847018,K01349.01,16.6621542,1.23,3.8166,54,0.135,1.12
8256049,K00909.01,16.371917,1.23,2.9247,20.5,0.105,0.549
3124412,K01087.01,0.9489512,1.229,3.903,35,0.02,1.08
12108312,K01492.01,0.7054477,1.2245,2.584,22.9,0.015,0.85
3557493,K01200.01,0.3937265,1.2227,2.2231,27.9,0.011,1.04
8908102,K00699.01,5.4145815,1.22,4.2865,94,0.068,2.92
